club_id,name
801,Alice Springs Golf Club
802,Alyangula Golf Club
803,Darwin Golf Club
804,Gove Country Golf Club
805,Humpty Doo + Rural Area Golf Club
806,Jabiru Golf Club
807,Katherine Golf Club
808,Palmerston Golf  Club
809,RAAF Darwin Golf Club
810,Tennant Creek Golf Club
811,RAAF Tindal Golf Club
812,Elliott Golf Club
813,Gardens Park Golf Links
20101,Stonecutters Ridge GC
20102,Avondale Golf Club
20103,Bankstown Golf Club
20104,Bonnie Doon Golf Club
20105,Castle Hill Country Club
20106,Concord Golf Club
